iter	Passed	Remaining
439	1355	4805
440	1358	4802
441	1361	4799
442	1364	4796
443	1367	4793
444	1370	4789
445	1373	4786
446	1377	4784
447	1380	4781
448	1383	4777
449	1385	4773
450	1388	4769
451	1391	4766
452	1394	4762
453	1397	4758
454	1400	4755
455	1405	4759
456	1408	4756
457	1411	4753
458	1414	4749
459	1418	4747
460	1423	4752
461	1426	4748
462	1429	4746
463	1433	4743
464	1436	4740
465	1439	4737
466	1442	4735
467	1445	4732
468	1449	4730
469	1452	4727
470	1455	4724
471	1458	4722
472	1461	4718
473	1464	4715
474	1467	4711
475	1470	4708
476	1473	4705
477	1477	4704
478	1480	4701
479	1484	4701
480	1490	4706
481	1494	4706
482	1497	4702
483	1500	4699
484	1503	4695
485	1506	4691
486	1509	4688
487	1511	4684
488	1514	4680
489	1517	4676
490	1520	4672
491	1523	4668
492	1526	4664
493	1528	4661
494	1531	4657
495	1534	4653
496	1540	4658
497	1544	4657
498	1547	4656
499	1551	4655
500	1556	4655
501	1558	4651
502	1561	4647
503	1564	4644
504	1567	4640
505	1570	4637
506	1573	4633
507	1576	4631
508	1579	4627
509	1582	4623
510	1585	4620
511	1588	4616
512	1591	4613
513	1594	4609
514	1597	4605
515	1600	4601
516	1603	4598
517	1605	4594
518	1608	4590
519	1611	4586
520	1614	4582
521	1617	4578
522	1621	4580
523	1624	4577
524	1627	4572
525	1630	4569
526	1633	4565
527	1636	4561
528	1639	4557
529	1641	4554
530	1644	4550
531	1647	4546
532	1650	4542
533	1653	4538
534	1656	4535
535	1659	4531
536	1662	4528
537	1664	4524
538	1667	4520
539	1670	4516
540	1673	4514
541	1676	4511
542	1680	4508
543	1683	4504
544	1688	4506
545	1691	4503
546	1694	4499
547	1696	4496
548	1699	4492
549	1702	4489
550	1706	4486
551	1710	4485
552	1713	4484
553	1716	4481
554	1719	4477
555	1722	4474
556	1725	4470
557	1728	4467
558	1731	4463
559	1734	4459
560	1737	4455
561	1740	4452
562	1743	4448
563	1745	4445
564	1748	4441
565	1753	4443
566	1756	4439
567	1759	4436
568	1762	4432
569	1765	4428
570	1768	4425
571	1771	4422
572	1775	4420
573	1778	4417
574	1780	4413
575	1783	4409
576	1786	4406
577	1789	4402
578	1792	4399
579	1796	4398
580	1802	4403
581	1805	4400
582	1808	4396
583	1812	4394
584	1815	4391
585	1820	4392
586	1823	4389
587	1826	4386
588	1829	4382
589	1832	4379
590	1835	4376
591	1838	4373
592	1841	4370
593	1845	4367
594	1848	4364
595	1851	4360
596	1854	4357
597	1857	4354
598	1860	4351
599	1863	4349
600	1867	4347
601	1871	4345
602	1877	4349
603	1881	4348
604	1886	4350
605	1890	4349
606	1894	4347
607	1897	4343
608	1900	4341
609	1903	4337
610	1906	4333
611	1909	4330
612	1912	4326
613	1915	4323
614	1918	4320
615	1921	4317
616	1924	4313
617	1927	4310
618	1930	4307
619	1934	4305
620	1937	4302
621	1940	4300
622	1943	4296
623	1949	4298
624	1953	4297
625	1957	4295
626	1961	4294
627	1964	4292
628	1967	4288
629	1970	4285
630	1974	4283
631	1978	4281
632	1981	4279
633	1985	4277
634	1988	4274
635	1991	4270
636	1994	4266
637	1998	4266
638	2002	4265
639	2006	4263
640	2010	4262
641	2014	4260
642	2019	4262
643	2023	4260
644	2026	4258
645	2029	4254
646	2032	4251
647	2035	4246
648	2038	4243
649	2041	4239
650	2044	4235
651	2046	4232
652	2049	4228
653	2053	4226
654	2057	4224
655	2062	4225
656	2066	4223
657	2069	4221
658	2074	4220
659	2078	4219
660	2083	4220
661	2086	4218
662	2089	4214
663	2092	4211
664	2095	4207
665	2099	4204
666	2102	4200
667	2105	4198
668	2109	4196
669	2112	4193
670	2115	4190
671	2118	4186
672	2122	4184
673	2125	4180
674	2129	4180
675	2134	4180
676	2138	4178
677	2142	4176
678	2147	4178
679	2151	4175
680	2154	4172
681	2157	4168
682	2159	4164
683	2163	4161
684	2166	4158
685	2169	4155
686	2172	4152
687	2177	4152
688	2181	4150
689	2184	4146
690	2187	4144
691	2191	4143
692	2195	4140
693	2198	4136
694	2201	4133
695	2205	4131
696	2208	4127
697	2210	4123
698	2215	4123
699	2218	4120
700	2221	4116
701	2224	4112
702	2227	4109
703	2230	4105
704	2233	4102
705	2236	4098
706	2239	4095
707	2242	4091
708	2244	4087
709	2247	4084
710	2250	4080
711	2253	4076
712	2256	4073
713	2261	4072
714	2264	4069
715	2267	4065
716	2269	4061
717	2273	4059
718	2276	4055
719	2279	4052
720	2284	4052
721	2287	4049
722	2290	4045
723	2293	4041
724	2296	4038
725	2299	4035
726	2302	4031
727	2305	4028
728	2308	4024
729	2310	4020
730	2313	4016
731	2316	4012
732	2319	4008
733	2322	4005
734	2325	4001
735	2327	3997
736	2330	3993
737	2334	3991
738	2337	3989
739	2341	3987
740	2344	3983
741	2349	3982
742	2352	3979
743	2354	3975
744	2357	3971
745	2360	3968
746	2363	3965
747	2366	3961
748	2369	3958
749	2373	3955
750	2376	3951
751	2378	3947
752	2381	3944
753	2384	3940
754	2387	3936
755	2390	3933
756	2393	3929
757	2396	3926
758	2399	3924
759	2403	3922
760	2408	3920
761	2411	3917
762	2414	3913
763	2418	3913
764	2421	3909
765	2424	3905
766	2427	3902
767	2430	3899
768	2433	3895
769	2436	3892
770	2439	3889
771	2444	3887
772	2447	3884
773	2449	3880
774	2453	3877
775	2456	3874
776	2459	3870
777	2462	3867
778	2465	3863
779	2468	3860
780	2471	3857
781	2474	3853
782	2477	3850
783	2480	3846
784	2483	3843
785	2488	3842
786	2490	3839
787	2494	3837
788	2498	3834
789	2502	3832
790	2505	3830
791	2508	3826
792	2511	3822
793	2514	3819
794	2517	3815
795	2520	3812
796	2523	3808
797	2526	3805
798	2532	3806
799	2535	3802
800	2537	3799
801	2541	3795
802	2544	3792
803	2547	3789
804	2550	3785
805	2555	3785
806	2558	3782
807	2561	3778
808	2564	3775
809	2567	3772
810	2571	3770
811	2574	3767
812	2577	3763
813	2581	3760
814	2584	3758
815	2589	3757
816	2593	3755
817	2596	3751
818	2599	3748
819	2603	3745
820	2605	3742
821	2608	3738
822	2611	3735
823	2615	3732
824	2618	3728
825	2623	3728
826	2626	3725
827	2629	3722
828	2632	3718
829	2636	3716
830	2639	3712
831	2642	3709
832	2646	3707
833	2650	3705
834	2653	3702
835	2656	3699
836	2660	3696
837	2663	3692
838	2666	3689
839	2669	3686
840	2672	3682
841	2675	3679
842	2679	3677
843	2681	3673
844	2684	3669
845	2689	3668
846	2692	3665
847	2695	3661
848	2698	3657
849	2701	3654
850	2704	3651
851	2706	3647
852	2709	3643
853	2712	3640
854	2715	3636
855	2718	3632
856	2721	3629
857	2724	3626
858	2729	3625
859	2732	3622
860	2735	3618
861	2738	3615
862	2742	3612
863	2745	3609
864	2748	3606
865	2751	3602
866	2754	3599
867	2757	3596
868	2760	3593
869	2764	3590
870	2767	3587
871	2770	3584
872	2773	3580
873	2776	3577
874	2780	3575
875	2783	3571
876	2786	3568
877	2789	3564
878	2793	3562
879	2796	3559
880	2799	3555
881	2802	3552
882	2805	3548
883	2808	3545
884	2810	3541
885	2813	3537
886	2816	3534
887	2819	3530
888	2824	3529
889	2827	3527
890	2830	3523
891	2834	3520
892	2836	3516
893	2839	3513
894	2842	3509
895	2845	3506
896	2848	3502
897	2853	3502
898	2856	3498
899	2859	3495
900	2862	3491
901	2865	3488
902	2868	3485
903	2871	3481
904	2874	3478
905	2877	3474
906	2880	3471
907	2883	3467
908	2886	3464
909	2891	3463
910	2894	3459
911	2897	3456
912	2899	3452
913	2902	3448
914	2906	3446
915	2908	3442
916	2911	3438
917	2915	3436
918	2919	3434
919	2923	3431
920	2927	3429
921	2930	3426
922	2934	3424
923	2937	3420
924	2940	3417
925	2943	3414
926	2946	3410
927	2949	3407
928	2952	3404
929	2956	3401
930	2960	3399
931	2963	3396
932	2967	3393
933	2970	3389
934	2973	3386
935	2976	3383
936	2980	3381
937	2984	3379
938	2987	3375
939	2990	3372
940	2993	3369
941	2996	3365
942	2999	3362
943	3003	3359
944	3006	3356
945	3010	3353
946	3013	3351
947	3016	3347
948	3019	3344
949	3022	3340
950	3025	3337
951	3030	3336
952	3033	3333
953	3036	3329
954	3039	3326
955	3042	3322
956	3045	3319
957	3050	3318
958	3054	3315
959	3058	3312
960	3061	3310
961	3066	3308
962	3069	3305
963	3073	3302
964	3077	3300
965	3080	3297
966	3084	3295
967	3088	3292
968	3091	3289
969	3097	3288
970	3100	3285
971	3103	3282
972	3106	3278
973	3109	3275
974	3112	3271
975	3115	3268
976	3119	3265
977	3122	3263
978	3126	3260
979	3130	3258
980	3134	3255
981	3137	3252
982	3141	3249
983	3144	3246
984	3147	3243
985	3150	3239
986	3153	3236
987	3156	3232
988	3159	3229
989	3162	3226
990	3165	3223
991	3169	3220
992	3176	3220
993	3181	3219
994	3185	3217
995	3191	3216
996	3194	3214
997	3198	3211
998	3201	3207
999	3204	3204
1000	3207	3201
1001	3210	3198
1002	3213	3194
1003	3217	3191
1004	3220	3188
1005	3223	3185
1006	3226	3181
1007	3229	3178
1008	3232	3174
1009	3235	3171
1010	3239	3168
1011	3243	3166
1012	3248	3164
1013	3251	3161
1014	3254	3158
1015	3257	3154
1016	3260	3151
1017	3264	3149
1018	3268	3146
1019	3272	3144
1020	3276	3141
1021	3280	3138
1022	3283	3136
1023	3287	3133
1024	3292	3131
1025	3295	3128
1026	3298	3125
1027	3302	3122
1028	3305	3119
1029	3311	3118
1030	3314	3115
1031	3318	3112
1032	3321	3109
1033	3324	3105
1034	3328	3103
1035	3331	3099
1036	3334	3096
1037	3337	3093
1038	3340	3089
1039	3343	3086
1040	3346	3083
1041	3349	3079
1042	3353	3076
1043	3356	3073
1044	3360	3071
1045	3364	3068
1046	3368	3066
1047	3372	3063
1048	3377	3062
1049	3380	3058
1050	3384	3055
1051	3387	3052
1052	3390	3048
1053	3393	3045
1054	3396	3042
1055	3399	3038
1056	3402	3035
1057	3404	3031
1058	3407	3027
1059	3410	3024
1060	3412	3020
1061	3415	3016
1062	3418	3013
1063	3421	3009
1064	3424	3006
1065	3427	3002
1066	3430	2999
1067	3432	2995
1068	3435	2992
1069	3438	2988
1070	3443	2987
1071	3448	2985
1072	3452	2982
1073	3455	2979
1074	3459	2976
1075	3463	2974
1076	3467	2971
1077	3470	2968
1078	3473	2964
1079	3476	2961
1080	3478	2957
1081	3481	2953
1082	3484	2950
1083	3486	2946
1084	3489	2942
1085	3492	2939
1086	3494	2935
1087	3497	2931
1088	3500	2928
1089	3502	2924
1090	3505	2920
1091	3510	2918
1092	3513	2915
1093	3515	2911
1094	3518	2908
1095	3521	2904
1096	3524	2901
1097	3527	2897
1098	3530	2894
1099	3533	2890
1100	3535	2887
1101	3538	2883
1102	3540	2879
1103	3543	2876
1104	3546	2872
1105	3549	2868
1106	3551	2865
1107	3554	2861
1108	3557	2857
1109	3559	2854
1110	3563	2851
1111	3566	2847
1112	3568	2844
1113	3575	2843
1114	3579	2840
1115	3582	2837
1116	3585	2834
1117	3588	2831
1118	3591	2827
1119	3595	2824
1120	3598	2821
1121	3601	2818
1122	3604	2814
1123	3606	2810
1124	3609	2807
1125	3612	2803
1126	3615	2800
1127	3617	2796
1128	3620	2793
1129	3623	2789
1130	3626	2786
1131	3629	2782
1132	3632	2779
1133	3634	2775
1134	3637	2772
1135	3640	2768
1136	3644	2766
1137	3648	2763
1138	3651	2760
1139	3654	2756
1140	3657	2753
1141	3660	2750
1142	3663	2746
1143	3666	2743
1144	3669	2739
1145	3671	2736
1146	3674	2732
1147	3677	2729
1148	3680	2725
1149	3683	2722
1150	3686	2718
1151	3688	2715
1152	3691	2711
1153	3694	2708
1154	3697	2704
1155	3700	2701
1156	3705	2699
1157	3710	2697
1158	3713	2694
1159	3716	2691
1160	3719	2687
1161	3722	2684
1162	3725	2680
1163	3727	2677
1164	3730	2673
1165	3733	2670
1166	3736	2666
1167	3739	2663
1168	3742	2660
1169	3744	2656
1170	3747	2653
1171	3750	2649
1172	3753	2646
1173	3756	2642
1174	3760	2640
1175	3765	2638
1176	3769	2635
1177	3773	2632
1178	3777	2630
1179	3780	2627
1180	3784	2624
1181	3788	2621
1182	3792	2619
1183	3797	2616
1184	3801	2614
1185	3805	2611
1186	3808	2608
1187	3811	2605
1188	3814	2602
1189	3817	2598
1190	3821	2595
1191	3824	2592
1192	3826	2588
1193	3829	2585
1194	3832	2581
1195	3835	2578
1196	3837	2574
1197	3841	2571
1198	3845	2568
1199	3847	2565
