iter	MultiClass
0	1.085921224
1	1.073133341
2	1.060660807
3	1.049038442
4	1.036819712
5	1.025638072
6	1.014344152
7	1.002950923
8	0.9919775645
9	0.9811803182
10	0.9704656601
11	0.9587741852
12	0.9479930242
13	0.9378386815
14	0.9278134664
15	0.9180597941
16	0.9084679921
17	0.8985785166
18	0.8891928355
19	0.8797634125
20	0.8708267212
21	0.8624148051
22	0.8537645976
23	0.8449209849
24	0.8362445831
25	0.8264937083
26	0.8184003194
27	0.8103565216
28	0.8022451401
29	0.7942028681
30	0.786542511
31	0.7788406372
32	0.7713728587
33	0.7636118571
34	0.7565977732
35	0.7498516083
36	0.7433446248
37	0.7368017197
38	0.7298069
39	0.7227561951
40	0.7163695017
41	0.7095227559
42	0.7031873703
43	0.6966388702
44	0.6891024272
45	0.6827593486
46	0.6767584483
47	0.6706732432
48	0.6646270752
49	0.658854421
50	0.6521968206
51	0.6468817393
52	0.6411471049
53	0.6354927063
54	0.6295541128
55	0.6239091237
56	0.6187567393
57	0.6131856918
58	0.6076324463
59	0.6021532694
60	0.5969351451
61	0.5909046173
62	0.5858113607
63	0.5808890661
64	0.576355044
65	0.5713834127
66	0.5669969559
67	0.5624862671
68	0.5582654317
69	0.5541589737
70	0.5497753143
71	0.5456537247
72	0.541240565
73	0.5371016184
74	0.5326676051
75	0.5282927513
76	0.5239292463
77	0.5196727435
78	0.5155027707
79	0.511177508
80	0.507024765
81	0.5028515816
82	0.4988523165
83	0.4948542277
84	0.4909200986
85	0.4871982892
86	0.4835112254
87	0.4799957911
88	0.4761316299
89	0.4726687749
90	0.4688229879
91	0.4650950432
92	0.461452198
93	0.4579549154
94	0.4544056892
95	0.4510942459
96	0.4476283391
97	0.4444286982
98	0.4412069321
99	0.437789313
100	0.4344137192
101	0.4311340968
102	0.4279023488
103	0.4248423894
104	0.4218009631
105	0.4186763763
106	0.4154865901
107	0.4124103546
108	0.4095752716
109	0.4065689087
110	0.4036815643
111	0.4007492065
112	0.3980626106
113	0.3953339259
114	0.3925186157
115	0.3898239772
116	0.3870461782
117	0.3842640877
118	0.3816616694
119	0.3788889249
120	0.3765030543
121	0.373872757
122	0.3713816325
123	0.3689195951
124	0.3664336205
125	0.3640575409
126	0.3616782824
127	0.3591812452
128	0.3566972097
129	0.3546449025
130	0.3526072184
131	0.3503337224
132	0.3480521202
133	0.3458486557
134	0.3435962359
135	0.3415033976
136	0.3393181165
137	0.3371810277
138	0.3351191521
139	0.3329157511
140	0.3309500058
141	0.3288943291
142	0.326736323
143	0.3246936162
144	0.3225667
145	0.3205067635
146	0.3185959498
147	0.3164873123
148	0.3143966675
